StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q36,Q37,Q30,Q22,Q23,Q24,Q3,Q4,Q16_1,Q16_2,Q1_1,Q1_2,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8,Q9,Q21,Q31_1,Q31_2,Q32_1,Q32_2,Q14,Q15,Q28,Q31,Q29,Q34,Q27_1,Q27_2,Q27_3,Q27_4,Q35,Q26,Terminate,llm,participantId,assignmentId,projectId,start_time,end_time,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate
5/17/2024 22:34,5/17/2024 22:48,IP Address,73.175.198.209,100,845,True,5/17/2024 22:48,R_3c25iWoAr4lGi6P,,,,,40.2389,-77.1935,anonymous,EN,1.0,Joe Biden,,"One of my favorite movies is called 10 Things I Hate About You, and I like it because it came out when I was just finishing high school so I could relate to the characters at the time. Still, all these years later, I still find it funny every time I watch it. ",Not too closely,Less often,Never talk with friends and family about politics,Independent,Democrat,100,0,7,0,A little,Equally concerned and excited,AI hurts more than it helps,Not sure,AI hurts more than it helps,A little,"No, I have not done this","I think Donald Trump is a criminal who only cares about himself and money, so obviously that is not someone that I would want to align myself with. ",100,0,7,0,Independent,Democrat,None at all,"I knew it was AI and going along with everything that I said and encouraging me in the direction that I started in. Because of this, it made me wary of what it was saying because it felt very one-sided. ",Somewhat satisfied,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat less favorable,,F,llama,E0E54B4E48594DD5B5226EDE7A41ED6F,45c0cacc-0108-45f8-bf3b-da0244503458,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:34,5/17/2024 22:49,IP Address,98.188.190.24,100,871,True,5/17/2024 22:49,R_3IJhH6iyJVObLAB,,,,,35.9726,-114.8356,anonymous,EN,0.899999976,Joe Biden,,My favorite movie is Rocky because it is the story of an underdog who does the distance to prove he is worth more than he or others think he is. It has lovable characters and a vibe and setting I find comforting.,Somewhat closely,A few times a month,Listen to the conversation more than lead,Strong Democrat,,100,0,8,0,A lot,More excited than concerned,AI hurts more than it helps,AI helps more than it hurts,Not sure,A lot,"Yes, I have done this",Biden fits more with my ideals and beliefs about how things should go in this country. Trump is a terrible person who I do not trust and I cannot stand with what he stands for.,100,0,8,0,Strong Democrat,,None at all,"I was already for Biden completely, and everything I read that was written by the AI was stuff I already agreed with. It did not have to persuade or change my mind about any of those topics.",Very satisfied,The AI conversation was much better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat more favorable,No comment,F,llama,F0B31CDD82B64726B0018106CB279057,c8cc8204-0bc3-4080-89e2-d4627220687d,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:30,5/17/2024 22:49,IP Address,73.44.198.127,100,1104,True,5/17/2024 22:49,R_3MDm3QuzghyKXMU,,,,,42.1112,-88.0439,anonymous,EN,1.0,Joe Biden,,One of my favorite movies is 'inception.' I love it because it is mind-bending and it has a captivating story. I like how Christopher Nolan explores the concept of dreams within dreams. ,Somewhat closely,A few times a month,Listen to the conversation more than lead,Somewhat Democrat,,70,30,8,2,A moderate amount,More excited than concerned,AI helps more than it hurts,Not sure,AI helps more than it hurts,A lot,"Yes, I have done this","I like some of Biden's emphasis on policies related to healthcare, environment and immigration. Biden's leadership is more inclusive. On the other hand, what Trump did on 6th January is unforgivable. It's undemocratic.",70,30,7,2,Somewhat Democrat,,None at all,I rely on my prior knowledge and I prefer more objective analysis. ,Neither satisfied nor dissatisfied,The AI conversation was somewhat better,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,The same,,F,llama,87E19F0A0B31461484704A06DB9A84C3,e4fceabc-7f49-47e9-b3bd-0207f3cb1b4c,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:31,5/17/2024 22:53,IP Address,47.16.200.225,100,1332,True,5/17/2024 22:53,R_3dhI05dkUDbraw5,,,,,40.6627,-73.9138,anonymous,EN,1.0,Joe Biden,,My favorite movie is Apocalypse Now. I saw it when I was a teenager and was very impressionable so it made a lasting impression. It was a very powerful movie.,Somewhat closely,A few times a week,Listen to the conversation more than lead,Somewhat Democrat,,100,0,6,0,A lot,More concerned than excited,AI hurts more than it helps,AI helps more than it hurts,Not sure,A lot,"Yes, I have done this","I am not very enthusiastic about Biden, but Trump encouraged the undermining of an election and a possible overthrow of the government.",100,0,5,0,Somewhat Democrat,,A little,"The AI reminded me of my reservations about Biden, but did not change my mind about Trump.",Very satisfied,The AI conversation was much better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now much more favorable,This was surprisingly enjoyable - I was sorry when the conversation was over.,F,llama,60E9881974684681A99D5DE08A192C43,d670bdfb-16af-4e13-b04a-56a1af7b6c77,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:37,5/17/2024 22:54,IP Address,198.147.22.226,100,969,True,5/17/2024 22:54,R_22yHx2VWKktJzAE,,,,,28.5436,-81.3738,anonymous,EN,1.0,Joe Biden,,"My favorite movie is Jurassic Park, because I find it to be an enjoyable and nostalgic film. It has a simple plot that is enjoyable and captivating.",Somewhat closely,A few times a week,Listen to the conversation more than lead,Strong Democrat,,100,0,9,0,A moderate amount,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,AI helps more than it hurts,A little,"Yes, I have done this","I lean towards Joe Biden because I believe that regardless of Biden's issues, Trump winning would inevitably result in repealing of Democratic rights in the U.S.",100,0,8,0,Strong Democrat,,A little,I think that the well-articulated arguments against Trump helped me dislike Trump slightly more.,Somewhat satisfied,The AI conversation was about the same,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,The same,,F,llama,2D11EC67D4394968BD2866567D1E1665,32e6f8b2-cfc3-4e81-bd9f-a28a6a249794,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:35,5/17/2024 23:01,IP Address,73.243.255.166,100,1548,True,5/17/2024 23:01,R_3LI1dLIiFVIw5Hz,,,,,39.489,-104.8298,anonymous,EN,1.0,Joe Biden,,"I have always loved Batman Returns. As a little girl I dreamed of becoming cat woman. Someone dangerous, mysterious, and beautiful. ",Not too closely,A few times a month,Listen to the conversation more than lead,Somewhat Democrat,,60,40,4,0,A lot,More excited than concerned,AI helps more than it hurts,AI helps more than it hurts,Not sure,A moderate amount,"Yes, I have done this","Joe Biden is at the very least, not an evil person. Donald Trump is actually evil.",65,35,4,0,Somewhat Democrat,,A little,"My responses weren't very detailed. But the AI's responses to me elaborated on ideas I already had about both of them. In that way, it only strengthened how I already felt, perhaps to a fault. I wasn't challenged to consider another point of view. ",Somewhat satisfied,The AI conversation was somewhat better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The same,I sincerely hope the AI can learn to offer alternate perspectives in the near future so that we may all benefit from an unbias news and make our own conclusions. ,F,llama,74467364B23944A8B7FE86658CE5186E,1312a0a7-a5a6-4568-9885-50f38d4af425,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:50,5/17/2024 23:14,IP Address,24.6.136.93,100,1490,True,5/17/2024 23:14,R_5QuPUW0vb3x3vNC,,,,,37.4651,-122.143,anonymous,EN,0.899999976,Joe Biden,,I like Dogfight as it's a classic. I think River Phoenix did a good job in it as far as creating a likable yet flawed character. ,Somewhat closely,A few times a week,Lead the conversation more than listen,Independent,No lean at all (perfectly balanced),100,0,4,0,A moderate amount,More concerned than excited,AI helps more than it hurts,AI helps more than it hurts,AI hurts more than it helps,A moderate amount,"Yes, I have done this",Biden is the lesser of two evils. Trump is a total moron and a criminal to boot.,100,0,3,0,Somewhat Democrat,,A little,"It did not change my core opinion, as Trump is just a degenerate.",Neither satisfied nor dissatisfied,The AI conversation was about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Now somewhat less favorable,,F,llama,AE5BB3054A9A46FABF7249C579A08B44,5e170f09-2b54-446c-9554-6d41dd94518c,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 23:04,5/17/2024 23:39,IP Address,71.70.64.51,100,2146,True,5/17/2024 23:40,R_2QE4rjFlnJkYLZx,,,,,33.9875,-81.0025,anonymous,EN,1.0,Joe Biden,,My favorite movie is Pulp Fiction. I like Pulp Fiction because the story is very original and the directing is unique. I also find the cast to be very talented.,Not too closely,Less often,Never talk with friends and family about politics,Somewhat Democrat,,95,5,6,2,A moderate amount,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,Not sure,A moderate amount,"Yes, I have done this","I think that Joe Biden cares more about the interest of the American people when compared to Trump. I think that Trump loves power and attention more than he loves America. While Biden has made plenty of mistakes while in office, I think that he's a better option than Trump in many ways.",95,5,6,2,Somewhat Democrat,,None at all,"I think the AI made valid points about both Biden and Trump. However, the AI didn't change my mind about how I feel about Biden, Trump, or any political talking points. If anything, the AI seemed to reinforce the opinions I currently held related to politics. ",Somewhat satisfied,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The same,I enjoyed participating in the experiment. Thank you for the opportunity.,F,llama,573A511F66284279B70754406ED46949,8e8706a3-f404-4359-9051-3dc96e10534a,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 22:38,5/17/2024 23:41,IP Address,73.106.238.187,100,3765,True,5/17/2024 23:41,R_1pkUqm7LOueM0ZI,,,,,33.7173,-84.4783,anonymous,EN,1.0,Vote for neither,No lean at all (perfectly balanced),"My favorite movie has always been Charlie's Angels because of the nostalgia it brings. Furthermore, I love this movie because it shows that women can kick behind in an action film just like men.",Somewhat closely,A few times a week,Lead the conversation more than listen,Independent,No lean at all (perfectly balanced),50,50,0,2,A lot,Equally concerned and excited,AI helps more than it hurts,Not sure,AI helps more than it hurts,A little,"Yes, I have done this","I do not lean towards Biden because he is a liar, so he can't be trusted. I do not lean towards Trump because he is too unpredictable.",50,50,1,2,Independent,No lean at all (perfectly balanced),None at all,I just know myself well enough to know that no one not even a robot can convince me to like either of them more.,Very satisfied,The AI conversation was about the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat more favorable,,F,llama,6E326A48770148549E12278B48A5DC99,a7365196-4710-49e5-8783-6aa74a6fca18,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 23:52,5/18/2024 0:06,IP Address,66.177.121.155,100,824,True,5/18/2024 0:06,R_3HHOacASde1yTJv,,,,,30.0955,-81.7198,anonymous,EN,0.899999976,Vote for neither,No lean at all (perfectly balanced),"My favorite movie is Indiana Jones. I have a lot of fond memories tied to this movie, so it's probably my favorite because of bias. My family and I would watch it often together. ",Not too closely,A few times a month,Listen to the conversation more than lead,Independent,Democrat,50,50,5,4,A little,More concerned than excited,AI hurts more than it helps,Not sure,AI hurts more than it helps,A moderate amount,"Yes, I have done this","I believe both presidents had their misgivings and neither lived up to their presidency. I felt Trump got more done economically, yet was not socially appropriate. I felt Biden got less done economically, and was socially appropriate. ",60,40,6,4,Independent,Democrat,A moderate amount,The AI bot was able to provide me with information that I otherwise was unaware of. ,Very satisfied,The AI conversation was much better,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Now somewhat more favorable,,F,llama,01527940CE6E4A34A55FA060A9631CF3,f29620d7-9d3b-43e5-84e3-fce8a1cf0570,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 23:54,5/18/2024 0:06,IP Address,72.241.14.200,100,715,True,5/18/2024 0:06,R_5luaqVVLeCSP0cK,,,,,41.6332,-83.579,anonymous,EN,0.899999976,Joe Biden,,"My favorite movie is Almost Famous. I felt like it was based partially on my life, because there are SO many parallels between the events in the movie, and how my life was in my teens and twenties. ",Very closely,Nearly every day,Lead the conversation more than listen,Strong Democrat,,100,0,4,0,A lot,More concerned than excited,AI hurts more than it helps,Not sure,Not sure,A lot,"Yes, I have done this","Donald Trump nearly destroyed this country during his first term. Now, with all of his fascist ideas and plans, he can't ever be allowed to regain power, or we may never have an election again!",100,0,4,0,Strong Democrat,,None at all,A robot is never going to convince me to vote for a nazi. It's pretty simple.,Very dissatisfied,The AI conversation was much worse,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,The same,,F,llama,32FC87F1C127480BA90BCC9764065560,c3d2f018-2600-4c8e-8d6a-338cc8ccb3ac,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
5/17/2024 23:53,5/18/2024 0:14,IP Address,104.7.126.70,100,1274,True,5/18/2024 0:15,R_7PtqdlLEfE0T15T,,,,,40.772,-89.6572,anonymous,EN,1.0,Vote for neither,Lean more toward Biden,My favorite movie is I Am Sam. I love all the actors in it. I really love the topic of can developmentally challenged raise a child on love. ,Somewhat closely,Less often,Listen to the conversation more than lead,Somewhat Democrat,,75,25,4,1,A moderate amount,Equally concerned and excited,AI helps more than it hurts,AI helps more than it hurts,Not sure,A moderate amount,"Yes, I have done this",I trust Biden more than Trump. Trump is a criminal. Biden is more level headed. ,100,0,8,1,Somewhat Democrat,,A little,AI helped to lay out all the pros and cons for me. It was pretty abstract in my mind before this. AI filled in all the details and gaps. ,Very satisfied,The AI conversation was much better,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The same,Study ran smoothly. I love talking to AI. Thank you for this interesting and fun opportunity!,F,llama,906DB4F6D9734AF08B4D5BFCBD5E51B5,e16eaf08-dae2-451e-8c67-2fe0219c564c,bbd78a6a-05d1-4126-ab87-85a43bc108ec,1716010000000.0,1716010000000.0,,,,
